fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,test_acc,stopped_epoch
0,279306,3086,0.593485,0.352225,0.456149,0.208072,0.385516,0.614712,68
1,271560,3838,0.601732,0.362082,0.377588,0.142573,0.344719,0.616206,79
2,273072,3787,0.600789,0.360947,0.391316,0.153128,0.328995,0.604436,171
3,277277,3203,0.621504,0.386268,0.344798,0.118886,0.322176,0.604121,121
4,273362,3746,0.615598,0.378961,0.370336,0.137149,0.361773,0.621997,117
5,275538,3408,0.623096,0.388248,0.34254,0.117334,0.303469,0.59507,136
6,272895,3839,0.617993,0.381916,0.316289,0.100039,0.281687,0.588955,110
7,278245,3162,0.604671,0.365627,0.42055,0.176862,0.357664,0.611638,82
8,276139,3294,0.618741,0.38284,0.382306,0.146158,0.349986,0.611718,118
9,277479,3174,0.613149,0.375951,0.396124,0.156914,0.356316,0.615942,96
