fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,test_acc,stopped_epoch
0,40166,493,0.551155,0.303772,0.331041,0.109588,0.305175,0.549696,29
1,40129,499,0.555842,0.308961,0.439278,0.192965,0.382742,0.685371,30
2,39267,606,0.536825,0.288182,0.292202,0.085382,0.280611,0.551155,27
3,39663,515,0.547326,0.299565,0.455683,0.207647,0.336709,0.656311,28
4,39495,529,0.535555,0.286819,0.420752,0.177032,0.465585,0.640832,28
5,39622,526,0.525056,0.275683,0.440494,0.194035,0.38505,0.576046,27
6,38849,632,0.53877,0.290273,0.385564,0.14866,0.371507,0.647152,30
7,39802,470,0.548851,0.301237,0.473455,0.224159,0.442903,0.608511,30
8,39986,528,0.526437,0.277135,0.379082,0.143703,0.376494,0.659091,27
9,39933,514,0.529323,0.280183,0.397101,0.157689,0.389561,0.605058,27
