fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,stopped_epoch
0,306037,34005,0.022676,0.000514,-0.004074,1.7e-05,-0.005638,24
1,306037,34005,0.035601,0.001267,-0.001897,4e-06,-0.000192,28
2,306038,34004,0.033543,0.001125,-0.006229,3.9e-05,-0.004009,28
3,306038,34004,0.031054,0.000964,0.00924,8.5e-05,0.007779,29
4,306038,34004,0.020832,0.000434,-0.004224,1.8e-05,-0.004483,23
5,306038,34004,0.020636,0.000426,0.000415,0.0,0.000559,24
6,306038,34004,0.023877,0.00057,-0.002103,4e-06,-0.000477,24
7,306038,34004,0.023297,0.000543,0.01038,0.000108,0.007837,26
8,306038,34004,0.023807,0.000567,-0.001779,3e-06,0.00162,27
9,306038,34004,0.02946,0.000868,0.005761,3.3e-05,0.012497,29
