fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,stopped_epoch
0,306037,34005,0.069829,0.004876,0.005077,2.6e-05,0.004486,22
1,306037,34005,0.04731,0.002238,-0.001045,1e-06,0.004182,21
2,306038,34004,0.047282,0.002236,-0.002153,5e-06,-0.000139,21
3,306038,34004,0.07194,0.005175,0.007527,5.7e-05,0.004178,22
4,306038,34004,0.038982,0.00152,0.002975,9e-06,-0.001695,21
5,306038,34004,0.043921,0.001929,-0.013822,0.000191,-0.014581,21
6,306038,34004,0.043634,0.001904,-0.005088,2.6e-05,-0.003376,21
7,306038,34004,0.045681,0.002087,0.002604,7e-06,-0.000907,21
8,306038,34004,0.043512,0.001893,-0.00279,8e-06,-0.004355,21
9,306038,34004,0.048571,0.002359,-0.001312,2e-06,-0.002845,21
