fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,test_acc,stopped_epoch
0,306037,34005,0.048084,0.002312,-0.005335,2.8e-05,-0.004206,0.500132,23
1,306037,34005,0.045397,0.002061,0.001453,2e-06,0.002938,0.503279,23
2,306038,34004,0.046917,0.002201,-0.009967,9.9e-05,-0.009377,0.496736,23
3,306038,34004,0.042122,0.001774,-0.012572,0.000158,-0.010862,0.495824,23
4,306038,34004,0.042619,0.001816,0.003683,1.4e-05,0.003381,0.503529,23
5,306038,34004,0.042916,0.001842,-0.00597,3.6e-05,-0.005336,0.499265,23
6,306038,34004,0.042551,0.001811,0.006516,4.2e-05,0.006026,0.501206,23
7,306038,34004,0.047253,0.002233,0.001401,2e-06,0.003396,0.504,24
8,306038,34004,0.037576,0.001412,-0.008455,7.1e-05,-0.009628,0.498,23
9,306038,34004,0.035316,0.001247,0.001165,1e-06,0.001158,0.503382,23
