fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,test_acc,stopped_epoch
0,40166,493,0.120949,0.014629,-0.009946,9.9e-05,-0.024431,0.490872,22
1,40129,499,0.08894,0.00791,-0.032001,0.001024,-0.01373,0.482966,21
2,39267,606,0.127665,0.016298,-0.02044,0.000418,-0.015832,0.475248,22
3,39663,515,0.139098,0.019348,0.010905,0.000119,0.025234,0.502913,22
4,39495,529,0.076603,0.005868,0.018265,0.000334,0.021991,0.52552,21
5,39622,526,0.125054,0.015639,0.001021,1e-06,0.022576,0.513308,22
6,38849,632,0.109357,0.011959,-0.015524,0.000241,-0.018041,0.490506,22
7,39802,470,0.132315,0.017507,0.015328,0.000235,0.004398,0.506383,22
8,39986,528,0.072541,0.005262,0.038442,0.001478,0.04462,0.528409,21
9,39933,514,0.085928,0.007384,-0.036661,0.001344,-0.006968,0.505837,21
