fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,test_acc,stopped_epoch
0,306037,34005,0.557443,0.310743,0.487011,0.23718,0.430933,0.6397,165
1,306037,34005,0.54376,0.295675,0.483818,0.23408,0.430153,0.640229,107
2,306038,34004,0.549162,0.301579,0.475101,0.225721,0.416371,0.634837,127
3,306038,34004,0.551331,0.303966,0.481149,0.231504,0.420989,0.635602,142
4,306038,34004,0.549191,0.30161,0.477806,0.228299,0.424436,0.638778,124
5,306038,34004,0.543821,0.295741,0.468747,0.219724,0.418701,0.638572,106
6,306038,34004,0.545192,0.297235,0.479797,0.230205,0.42545,0.638395,101
7,306038,34004,0.549578,0.302036,0.470804,0.221656,0.41874,0.637484,121
8,306038,34004,0.541531,0.293256,0.476664,0.227208,0.427307,0.641572,99
9,306038,34004,0.541217,0.292916,0.476381,0.226939,0.425027,0.642248,93
