fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,test_acc,stopped_epoch
0,279306,3086,0.551857,0.304546,0.207642,0.043115,0.207215,0.57615,112
1,271560,3838,0.543126,0.294986,0.243,0.059049,0.228339,0.587806,95
2,273072,3787,0.526866,0.277588,0.333994,0.111552,0.303052,0.594138,159
3,277277,3203,0.544142,0.296091,0.247537,0.061275,0.235593,0.582579,79
4,273362,3746,0.546674,0.298852,0.258442,0.066792,0.251029,0.593166,87
5,275538,3408,0.548436,0.300782,0.258824,0.06699,0.244105,0.577465,105
6,272895,3839,0.544406,0.296378,0.274466,0.075332,0.253313,0.583746,83
7,278245,3162,0.555433,0.308506,0.288273,0.083101,0.251163,0.58697,113
8,276139,3294,0.547903,0.300198,0.229896,0.052852,0.210037,0.572253,100
9,277479,3174,0.537281,0.288671,0.279111,0.077903,0.244063,0.582231,76
