fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,test_acc,stopped_epoch
0,306037,34005,0.412701,0.170322,0.370566,0.137319,0.336969,0.608587,31
1,306037,34005,0.42352,0.17937,0.367052,0.134727,0.331966,0.606499,36
2,306038,34004,0.423266,0.179154,0.368659,0.135909,0.330563,0.607282,36
3,306038,34004,0.411703,0.169499,0.368827,0.136033,0.330998,0.608575,31
4,306038,34004,0.434269,0.188589,0.364666,0.132981,0.328213,0.604429,43
5,306038,34004,0.42824,0.18339,0.361228,0.130485,0.330235,0.609605,39
6,306038,34004,0.423588,0.179427,0.365003,0.133227,0.329388,0.609075,36
7,306038,34004,0.412695,0.170317,0.35769,0.127942,0.326473,0.60984,31
8,306038,34004,0.408825,0.167138,0.364024,0.132513,0.328367,0.607723,30
9,306038,34004,0.425377,0.180946,0.361931,0.130994,0.326277,0.611163,38
