fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,test_acc,stopped_epoch
0,40166,493,0.478692,0.229146,0.306111,0.093704,0.25229,0.547667,28
1,40129,499,0.495587,0.245606,0.384025,0.147475,0.388819,0.687375,30
2,39267,606,0.495536,0.245556,0.233973,0.054743,0.246083,0.559406,30
3,39663,515,0.479101,0.229538,0.361584,0.130743,0.334125,0.664078,28
4,39495,529,0.454069,0.206179,0.360137,0.129699,0.364228,0.599244,26
5,39622,526,0.490706,0.240793,0.374742,0.140431,0.332525,0.570342,31
6,38849,632,0.503517,0.253529,0.303767,0.092275,0.272578,0.626582,35
7,39802,470,0.494294,0.244326,0.404898,0.163942,0.400499,0.587234,31
8,39986,528,0.480656,0.23103,0.297317,0.088397,0.300312,0.632576,29
9,39933,514,0.491826,0.241893,0.300716,0.09043,0.295913,0.622568,30
