fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,test_acc,stopped_epoch
0,279306,3086,0.053869,0.002902,0.025607,0.000656,0.021663,0.507453,24
1,271560,3838,0.028345,0.000803,-0.005135,2.6e-05,0.010459,0.502084,21
2,273072,3787,0.046524,0.002164,0.019706,0.000388,0.013099,0.499604,25
3,277277,3203,0.038993,0.00152,0.035702,0.001275,0.016982,0.502654,22
4,273362,3746,0.049459,0.002446,-0.005627,3.2e-05,-0.015583,0.485318,24
5,275538,3408,0.048073,0.002311,0.006842,4.7e-05,0.004801,0.494718,24
6,272895,3839,0.050603,0.002561,-0.028943,0.000838,-0.020538,0.500391,24
7,278245,3162,0.045452,0.002066,0.010743,0.000115,0.011192,0.503795,24
8,276139,3294,0.039179,0.001535,0.010876,0.000118,0.015366,0.510018,23
9,277479,3174,0.043073,0.001855,-0.019857,0.000394,-0.001873,0.505671,23
