fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,test_acc,stopped_epoch
0,279306,3086,0.068992,0.00476,0.01374,0.000189,0.017257,0.499676,22
1,271560,3838,0.056053,0.003142,0.006643,4.4e-05,0.001504,0.506774,21
2,273072,3787,0.048173,0.002321,-0.00638,4.1e-05,0.002173,0.496171,21
3,277277,3203,0.074083,0.005488,0.015954,0.000255,0.014582,0.514518,22
4,273362,3746,0.043096,0.001857,-0.013758,0.000189,-0.003077,0.515483,21
5,275538,3408,0.044679,0.001996,-0.017394,0.000303,-0.0189,0.481514,21
6,272895,3839,0.047752,0.00228,-0.010505,0.00011,-0.008471,0.501172,21
7,278245,3162,0.06485,0.004206,-0.005452,3e-05,-0.00467,0.498102,22
8,276139,3294,0.042788,0.001831,0.010504,0.00011,0.014134,0.51184,21
9,277479,3174,0.05187,0.002691,-0.02457,0.000604,-0.0202,0.501575,21
