fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,test_acc,stopped_epoch
0,279306,3086,0.616452,0.380014,0.417295,0.174135,0.34969,0.613739,107
1,271560,3838,0.61457,0.377697,0.401879,0.161507,0.347853,0.610735,98
2,273072,3787,0.594488,0.353416,0.382026,0.145944,0.333181,0.609982,131
3,277277,3203,0.624083,0.38948,0.34304,0.117677,0.301225,0.591321,121
4,273362,3746,0.602951,0.36355,0.394036,0.155264,0.369608,0.619594,70
5,275538,3408,0.619959,0.384349,0.362796,0.131621,0.327446,0.60358,111
6,272895,3839,0.627423,0.393659,0.347595,0.120823,0.31697,0.601198,137
7,278245,3162,0.616181,0.379679,0.420696,0.176985,0.34244,0.610057,98
8,276139,3294,0.600596,0.360715,0.396868,0.157504,0.361466,0.612933,70
9,277479,3174,0.612261,0.374863,0.380254,0.144593,0.335472,0.617517,86
