condition,layer,mode,split,mean_r2,sd_r2,n_folds,mean_best_epoch,mean_n_epochs
default,0,mean_pooled,pair_novel,0.839131,0.007126,10,103.0,109.0
default,0,mean_pooled,word_novel,0.737757,0.043815,10,121.3,127.3
default,0,words_only,pair_novel,0.568503,0.043577,10,157.8,163.8
default,0,words_only,word_novel,0.148096,0.042268,10,178.2,184.2
default,1,mean_pooled,pair_novel,0.837005,0.006351,10,126.8,132.8
default,1,mean_pooled,word_novel,0.750628,0.031192,10,131.9,137.9
default,1,words_only,pair_novel,0.543371,0.010584,10,184.2,190.2
default,1,words_only,word_novel,0.159672,0.038138,10,176.8,182.8
default,2,mean_pooled,pair_novel,0.828444,0.01074,10,122.5,128.5
default,2,mean_pooled,word_novel,0.754451,0.032615,10,141.9,147.9
default,2,words_only,pair_novel,0.556439,0.025677,10,201.7,207.7
default,2,words_only,word_novel,0.16565,0.037736,10,170.2,176.2
default,3,mean_pooled,pair_novel,0.825386,0.005532,10,138.0,144.0
default,3,mean_pooled,word_novel,0.74424,0.027757,10,135.0,141.0
default,3,words_only,pair_novel,0.548034,0.01316,10,183.4,189.4
default,3,words_only,word_novel,0.164344,0.036608,10,165.9,171.9
default,4,mean_pooled,pair_novel,0.819895,0.010031,10,140.3,146.3
default,4,mean_pooled,word_novel,0.744017,0.023876,10,146.0,152.0
default,4,words_only,pair_novel,0.537968,0.014425,10,177.7,183.7
default,4,words_only,word_novel,0.166154,0.044962,10,167.6,173.6
default,5,mean_pooled,pair_novel,0.807937,0.008683,10,122.3,128.3
default,5,mean_pooled,word_novel,0.731194,0.02862,10,140.3,146.3
default,5,words_only,pair_novel,0.515045,0.023849,10,165.8,171.8
default,5,words_only,word_novel,0.155306,0.042688,10,154.2,160.2
default,6,mean_pooled,pair_novel,0.801812,0.008545,10,117.1,123.1
default,6,mean_pooled,word_novel,0.718465,0.025566,10,128.0,134.0
default,6,words_only,pair_novel,0.509414,0.0229,10,177.3,183.3
default,6,words_only,word_novel,0.160575,0.045053,10,151.7,157.7
