condition,layer,mode,split,mean_r2,sd_r2,n_folds,mean_best_epoch,mean_n_epochs
default,0,mean_pooled,pair_novel,1.6e-05,2e-05,10,31.6,37.6
default,0,mean_pooled,word_novel,0.00046,0.000666,10,49.5,55.5
default,0,words_only,pair_novel,3.5e-05,4.2e-05,10,33.1,39.1
default,0,words_only,word_novel,0.000201,0.000182,10,34.5,40.5
default,1,mean_pooled,pair_novel,5.7e-05,6e-05,10,29.4,35.4
default,1,mean_pooled,word_novel,0.000382,0.000306,10,49.8,55.8
default,1,words_only,pair_novel,4.7e-05,5.1e-05,10,25.4,31.4
default,1,words_only,word_novel,0.000323,0.000358,10,31.2,37.2
default,2,mean_pooled,pair_novel,1.3e-05,1e-05,10,24.6,30.6
default,2,mean_pooled,word_novel,0.000163,0.000138,10,47.0,53.0
default,2,words_only,pair_novel,4.2e-05,5.1e-05,10,29.2,35.2
default,2,words_only,word_novel,0.000224,0.000316,10,35.3,41.3
default,3,mean_pooled,pair_novel,1.8e-05,2.6e-05,10,29.5,35.5
default,3,mean_pooled,word_novel,0.000317,0.000443,10,46.8,52.8
default,3,words_only,pair_novel,3.2e-05,4e-05,10,32.4,38.4
default,3,words_only,word_novel,0.0004,0.001058,10,33.6,39.6
default,4,mean_pooled,pair_novel,3.9e-05,3.8e-05,10,25.3,31.3
default,4,mean_pooled,word_novel,0.000454,0.000515,10,35.9,41.9
default,4,words_only,pair_novel,3e-05,4.3e-05,10,31.6,37.6
default,4,words_only,word_novel,0.000212,0.000297,10,36.1,42.1
default,5,mean_pooled,pair_novel,2.7e-05,3.2e-05,10,24.8,30.8
default,5,mean_pooled,word_novel,8.8e-05,0.000124,10,44.5,50.5
default,5,words_only,pair_novel,3.5e-05,3e-05,10,31.4,37.4
default,5,words_only,word_novel,0.000413,0.000637,10,35.1,41.1
default,6,mean_pooled,pair_novel,4.2e-05,4.6e-05,10,23.5,29.5
default,6,mean_pooled,word_novel,0.000391,0.000513,10,46.1,52.1
default,6,words_only,pair_novel,4.9e-05,6.3e-05,10,30.1,36.1
default,6,words_only,word_novel,0.000301,0.000367,10,35.0,41.0
default,7,mean_pooled,pair_novel,4.1e-05,3.8e-05,10,27.6,33.6
default,7,mean_pooled,word_novel,0.00019,0.000173,10,40.7,46.7
default,7,words_only,pair_novel,5.5e-05,6.8e-05,10,26.5,32.5
